Name,no_cosmo_prior,sat._10.5,sat._18,sat_10.5+PB13,sat._18+PB13,sat_10.5+BM13,sat._18+BM13,sat_10.5+PB19,sat._18+PB19,sat_10.5+BM18,sat._18+BM18
Aquarius2,${18.25}_{-0.55}^{+0.61}$,${17.62}_{-0.36}^{+0.37}$,${17.84}_{-0.36}^{+0.35}$,${17.21}_{-0.24}^{+0.26}$,${17.31}_{-0.24}^{+0.26}$,${17.57}_{-0.32}^{+0.31}$,${17.73}_{-0.37}^{+0.34}$,${17.71}_{-0.35}^{+0.31}$,${17.80}_{-0.35}^{+0.31}$,${17.92}_{-0.33}^{+0.34}$,${17.91}_{-0.34}^{+0.33}$
Bootes1,${18.24}_{-0.26}^{+0.28}$,${18.03}_{-0.21}^{+0.22}$,${18.11}_{-0.21}^{+0.21}$,${17.95}_{-0.18}^{+0.19}$,${17.99}_{-0.17}^{+0.18}$,${18.09}_{-0.21}^{+0.21}$,${18.09}_{-0.21}^{+0.21}$,${18.12}_{-0.20}^{+0.22}$,${18.12}_{-0.20}^{+0.21}$,${18.31}_{-0.18}^{+0.19}$,${18.30}_{-0.17}^{+0.18}$
Bootes2,${16.64}_{-4.90}^{+2.80}$,${17.69}_{-0.81}^{+0.65}$,${18.41}_{-0.53}^{+0.46}$,${17.48}_{-0.29}^{+0.28}$,${17.53}_{-0.29}^{+0.32}$,${17.64}_{-0.49}^{+0.53}$,${17.84}_{-0.67}^{+0.69}$,${17.74}_{-0.73}^{+0.58}$,${18.33}_{-0.42}^{+0.39}$,${18.33}_{-0.38}^{+0.41}$,${18.35}_{-0.41}^{+0.44}$
CanesVenatici1,${17.59}_{-0.19}^{+0.32}$,${17.42}_{-0.12}^{+0.13}$,${17.45}_{-0.12}^{+0.12}$,${17.41}_{-0.12}^{+0.13}$,${17.45}_{-0.12}^{+0.14}$,${17.45}_{-0.11}^{+0.11}$,${17.44}_{-0.12}^{+0.12}$,${17.47}_{-0.12}^{+0.12}$,${17.46}_{-0.12}^{+0.13}$,${17.46}_{-0.07}^{+0.10}$,${17.46}_{-0.07}^{+0.10}$
CanesVenatici2,${17.94}_{-0.45}^{+0.50}$,${17.40}_{-0.36}^{+0.37}$,${17.58}_{-0.31}^{+0.30}$,${16.98}_{-0.25}^{+0.23}$,${17.08}_{-0.25}^{+0.23}$,${17.38}_{-0.31}^{+0.27}$,${17.48}_{-0.32}^{+0.27}$,${17.47}_{-0.28}^{+0.27}$,${17.51}_{-0.28}^{+0.27}$,${17.68}_{-0.31}^{+0.30}$,${17.68}_{-0.30}^{+0.30}$
Carina2,${18.38}_{-0.55}^{+0.56}$,${18.06}_{-0.37}^{+0.41}$,${18.35}_{-0.36}^{+0.37}$,${18.00}_{-0.26}^{+0.25}$,${18.06}_{-0.25}^{+0.26}$,${18.15}_{-0.32}^{+0.33}$,${18.18}_{-0.36}^{+0.39}$,${18.17}_{-0.42}^{+0.39}$,${18.39}_{-0.35}^{+0.33}$,${18.53}_{-0.27}^{+0.30}$,${18.56}_{-0.27}^{+0.30}$
ComaBerenices,${18.95}_{-0.36}^{+0.34}$,${18.58}_{-0.29}^{+0.28}$,${18.70}_{-0.26}^{+0.26}$,${18.13}_{-0.23}^{+0.23}$,${18.19}_{-0.23}^{+0.24}$,${18.49}_{-0.27}^{+0.25}$,${18.60}_{-0.26}^{+0.24}$,${18.55}_{-0.27}^{+0.25}$,${18.63}_{-0.24}^{+0.23}$,${18.71}_{-0.26}^{+0.25}$,${18.71}_{-0.27}^{+0.26}$
Draco2,${16.80}_{-4.77}^{+2.54}$,${18.30}_{-0.78}^{+0.62}$,${18.93}_{-0.49}^{+0.43}$,${18.12}_{-0.29}^{+0.29}$,${18.15}_{-0.27}^{+0.29}$,${18.28}_{-0.48}^{+0.49}$,${18.40}_{-0.61}^{+0.69}$,${18.35}_{-0.70}^{+0.54}$,${18.89}_{-0.43}^{+0.37}$,${18.90}_{-0.35}^{+0.37}$,${18.93}_{-0.35}^{+0.38}$
Eridanus2,${17.29}_{-0.36}^{+0.38}$,${16.91}_{-0.24}^{+0.25}$,${16.98}_{-0.23}^{+0.24}$,${16.76}_{-0.19}^{+0.20}$,${16.81}_{-0.19}^{+0.19}$,${16.97}_{-0.23}^{+0.22}$,${16.96}_{-0.22}^{+0.22}$,${17.03}_{-0.21}^{+0.21}$,${17.03}_{-0.23}^{+0.23}$,${17.15}_{-0.16}^{+0.14}$,${17.14}_{-0.15}^{+0.14}$
Grus1,${17.42}_{-0.89}^{+0.88}$,${17.09}_{-0.48}^{+0.46}$,${17.44}_{-0.44}^{+0.44}$,${16.77}_{-0.25}^{+0.26}$,${16.85}_{-0.26}^{+0.28}$,${17.05}_{-0.41}^{+0.42}$,${17.26}_{-0.50}^{+0.46}$,${17.15}_{-0.48}^{+0.41}$,${17.43}_{-0.39}^{+0.36}$,${17.53}_{-0.36}^{+0.37}$,${17.51}_{-0.35}^{+0.39}$
Hercules,${17.89}_{-0.37}^{+0.37}$,${17.51}_{-0.27}^{+0.30}$,${17.69}_{-0.27}^{+0.28}$,${17.43}_{-0.21}^{+0.21}$,${17.48}_{-0.23}^{+0.22}$,${17.62}_{-0.27}^{+0.26}$,${17.61}_{-0.25}^{+0.26}$,${17.69}_{-0.29}^{+0.26}$,${17.69}_{-0.28}^{+0.27}$,${17.93}_{-0.20}^{+0.18}$,${17.95}_{-0.21}^{+0.18}$
Horologium1,${19.08}_{-0.63}^{+0.68}$,${18.11}_{-0.40}^{+0.41}$,${18.26}_{-0.37}^{+0.33}$,${17.53}_{-0.23}^{+0.24}$,${17.59}_{-0.24}^{+0.25}$,${17.95}_{-0.34}^{+0.31}$,${18.18}_{-0.36}^{+0.30}$,${18.05}_{-0.34}^{+0.31}$,${18.18}_{-0.30}^{+0.28}$,${18.25}_{-0.36}^{+0.35}$,${18.29}_{-0.36}^{+0.34}$
Hydrus1,${18.52}_{-0.32}^{+0.36}$,${18.33}_{-0.27}^{+0.29}$,${18.50}_{-0.28}^{+0.31}$,${18.25}_{-0.19}^{+0.21}$,${18.30}_{-0.21}^{+0.21}$,${18.37}_{-0.26}^{+0.26}$,${18.38}_{-0.26}^{+0.31}$,${18.42}_{-0.31}^{+0.29}$,${18.51}_{-0.27}^{+0.26}$,${18.69}_{-0.22}^{+0.25}$,${18.68}_{-0.22}^{+0.25}$
Leo4,${15.63}_{-5.06}^{+1.85}$,${16.72}_{-0.61}^{+0.53}$,${17.17}_{-0.46}^{+0.47}$,${16.96}_{-0.27}^{+0.27}$,${17.01}_{-0.29}^{+0.27}$,${17.09}_{-0.37}^{+0.39}$,${17.15}_{-0.41}^{+0.37}$,${16.95}_{-0.50}^{+0.53}$,${17.18}_{-0.47}^{+0.43}$,${17.70}_{-0.27}^{+0.28}$,${17.69}_{-0.28}^{+0.27}$
Leo5,${17.18}_{-0.82}^{+0.78}$,${16.92}_{-0.48}^{+0.45}$,${17.28}_{-0.43}^{+0.36}$,${16.73}_{-0.26}^{+0.27}$,${16.87}_{-0.26}^{+0.26}$,${17.07}_{-0.34}^{+0.34}$,${17.16}_{-0.39}^{+0.37}$,${17.17}_{-0.43}^{+0.36}$,${17.29}_{-0.37}^{+0.32}$,${17.56}_{-0.30}^{+0.30}$,${17.51}_{-0.31}^{+0.33}$
LeoT,${17.61}_{-0.44}^{+0.43}$,${16.95}_{-0.31}^{+0.31}$,${17.01}_{-0.29}^{+0.27}$,${16.82}_{-0.22}^{+0.22}$,${16.87}_{-0.23}^{+0.23}$,${17.07}_{-0.29}^{+0.26}$,${17.09}_{-0.28}^{+0.24}$,${17.12}_{-0.30}^{+0.26}$,${17.12}_{-0.32}^{+0.27}$,${17.06}_{-0.12}^{+0.10}$,${17.05}_{-0.14}^{+0.10}$
Pegasus3,${17.82}_{-2.10}^{+1.01}$,${16.72}_{-0.72}^{+0.60}$,${17.23}_{-0.51}^{+0.44}$,${16.41}_{-0.28}^{+0.29}$,${16.45}_{-0.31}^{+0.31}$,${16.78}_{-0.51}^{+0.46}$,${17.00}_{-0.66}^{+0.50}$,${16.88}_{-0.74}^{+0.47}$,${17.17}_{-0.39}^{+0.35}$,${17.35}_{-0.42}^{+0.39}$,${17.35}_{-0.39}^{+0.39}$
Pisces2,${17.24}_{-1.17}^{+0.91}$,${16.74}_{-0.56}^{+0.55}$,${17.15}_{-0.48}^{+0.46}$,${16.70}_{-0.27}^{+0.27}$,${16.72}_{-0.30}^{+0.30}$,${16.87}_{-0.38}^{+0.42}$,${16.94}_{-0.45}^{+0.47}$,${16.93}_{-0.60}^{+0.48}$,${17.15}_{-0.46}^{+0.42}$,${17.47}_{-0.33}^{+0.33}$,${17.50}_{-0.34}^{+0.34}$
Reticulum2,${18.98}_{-0.36}^{+0.37}$,${18.65}_{-0.30}^{+0.30}$,${18.80}_{-0.28}^{+0.27}$,${18.31}_{-0.20}^{+0.21}$,${18.35}_{-0.20}^{+0.21}$,${18.57}_{-0.28}^{+0.27}$,${18.70}_{-0.32}^{+0.29}$,${18.68}_{-0.28}^{+0.25}$,${18.75}_{-0.26}^{+0.25}$,${18.81}_{-0.27}^{+0.27}$,${18.82}_{-0.27}^{+0.26}$
Segue1,${19.74}_{-0.41}^{+0.39}$,${19.20}_{-0.39}^{+0.33}$,${19.32}_{-0.33}^{+0.28}$,${18.22}_{-0.31}^{+0.29}$,${18.36}_{-0.33}^{+0.31}$,${18.95}_{-0.37}^{+0.30}$,${19.23}_{-0.30}^{+0.27}$,${18.98}_{-0.34}^{+0.30}$,${19.21}_{-0.29}^{+0.25}$,${19.20}_{-0.35}^{+0.31}$,${19.23}_{-0.36}^{+0.30}$
Segue2,${18.02}_{-2.06}^{+0.70}$,${18.01}_{-0.50}^{+0.46}$,${18.42}_{-0.41}^{+0.37}$,${17.66}_{-0.26}^{+0.26}$,${17.72}_{-0.28}^{+0.27}$,${17.93}_{-0.44}^{+0.40}$,${18.11}_{-0.60}^{+0.44}$,${18.11}_{-0.51}^{+0.37}$,${18.37}_{-0.37}^{+0.30}$,${18.38}_{-0.30}^{+0.32}$,${18.39}_{-0.34}^{+0.35}$
Triangulum2,${14.36}_{-3.86}^{+2.91}$,${17.75}_{-0.86}^{+0.67}$,${18.54}_{-0.49}^{+0.43}$,${17.56}_{-0.29}^{+0.29}$,${17.63}_{-0.28}^{+0.27}$,${17.68}_{-0.49}^{+0.55}$,${17.96}_{-0.68}^{+0.65}$,${17.77}_{-0.70}^{+0.57}$,${18.44}_{-0.42}^{+0.36}$,${18.43}_{-0.38}^{+0.37}$,${18.39}_{-0.36}^{+0.43}$
Tucana2,${18.14}_{-0.52}^{+0.58}$,${17.87}_{-0.36}^{+0.38}$,${18.16}_{-0.35}^{+0.36}$,${17.57}_{-0.25}^{+0.26}$,${17.68}_{-0.23}^{+0.25}$,${17.84}_{-0.30}^{+0.33}$,${18.02}_{-0.35}^{+0.36}$,${17.96}_{-0.35}^{+0.33}$,${18.10}_{-0.32}^{+0.32}$,${18.20}_{-0.30}^{+0.32}$,${18.19}_{-0.29}^{+0.32}$
Tucana3,${15.71}_{-4.35}^{+1.79}$,${17.52}_{-0.56}^{+0.45}$,${18.06}_{-0.33}^{+0.34}$,${17.73}_{-0.27}^{+0.25}$,${17.80}_{-0.25}^{+0.26}$,${17.63}_{-0.29}^{+0.35}$,${17.65}_{-0.30}^{+0.35}$,${17.53}_{-0.38}^{+0.46}$,${18.05}_{-0.50}^{+0.43}$,${18.29}_{-0.24}^{+0.27}$,${18.25}_{-0.23}^{+0.27}$
UrsaMajor1,${18.66}_{-0.29}^{+0.30}$,${18.30}_{-0.22}^{+0.22}$,${18.34}_{-0.20}^{+0.20}$,${18.03}_{-0.19}^{+0.21}$,${18.09}_{-0.20}^{+0.19}$,${18.26}_{-0.20}^{+0.20}$,${18.27}_{-0.19}^{+0.20}$,${18.30}_{-0.20}^{+0.20}$,${18.30}_{-0.19}^{+0.20}$,${18.39}_{-0.19}^{+0.19}$,${18.38}_{-0.19}^{+0.20}$
UrsaMajor2,${19.54}_{-0.38}^{+0.38}$,${19.01}_{-0.28}^{+0.29}$,${19.10}_{-0.24}^{+0.25}$,${18.56}_{-0.24}^{+0.23}$,${18.63}_{-0.24}^{+0.24}$,${18.91}_{-0.25}^{+0.26}$,${19.05}_{-0.26}^{+0.25}$,${18.98}_{-0.25}^{+0.25}$,${19.04}_{-0.24}^{+0.25}$,${19.12}_{-0.27}^{+0.26}$,${19.13}_{-0.27}^{+0.27}$
Willman1,${19.50}_{-0.44}^{+0.44}$,${18.85}_{-0.38}^{+0.34}$,${18.95}_{-0.34}^{+0.29}$,${18.04}_{-0.28}^{+0.27}$,${18.14}_{-0.30}^{+0.27}$,${18.59}_{-0.32}^{+0.30}$,${18.86}_{-0.32}^{+0.29}$,${18.70}_{-0.33}^{+0.29}$,${18.84}_{-0.28}^{+0.26}$,${18.86}_{-0.33}^{+0.32}$,${18.92}_{-0.35}^{+0.31}$
